START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/04/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/04/16,04/04/16,,,FALSE,TRUE,04/04/16,,,FREE,BUSY
04/05/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/05/16,04/05/16,,,FALSE,TRUE,04/05/16,,,FREE,BUSY
04/06/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/06/16,04/06/16,,,FALSE,TRUE,04/06/16,,,FREE,BUSY
04/07/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/07/16,04/07/16,,,FALSE,TRUE,04/07/16,,,FREE,BUSY
04/08/16,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/08/16,04/08/16,10:07 PM,10:07 PM,FALSE,TRUE,04/08/16,06:07 PM,06:07 PM,FREE,BUSY
04/09/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/09/16,04/09/16,04:07 PM,04:07 PM,FALSE,TRUE,04/09/16,12:07 PM,12:07 PM,FREE,BUSY
04/10/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/10/16,04/10/16,04:07 PM,04:07 PM,FALSE,TRUE,04/10/16,12:07 PM,12:07 PM,FREE,BUSY
04/12/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",04/12/16,04/12/16,10:07 PM,10:07 PM,FALSE,TRUE,04/12/16,06:07 PM,06:07 PM,FREE,BUSY
04/13/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",04/13/16,04/13/16,10:07 PM,10:07 PM,FALSE,TRUE,04/13/16,06:07 PM,06:07 PM,FREE,BUSY
04/14/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",04/14/16,04/14/16,10:07 PM,10:07 PM,FALSE,TRUE,04/14/16,06:07 PM,06:07 PM,FREE,BUSY
04/15/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",04/15/16,04/15/16,,,FALSE,TRUE,04/15/16,,,FREE,BUSY
04/16/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",04/16/16,04/16/16,,,FALSE,TRUE,04/16/16,,,FREE,BUSY
04/17/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",04/17/16,04/17/16,,,FALSE,TRUE,04/17/16,,,FREE,BUSY
04/18/16,,,Blue Jays at Red Sox - Time TBD,Fenway Park - Boston,"",04/18/16,04/18/16,,,FALSE,TRUE,04/18/16,,,FREE,BUSY
04/19/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/19/16,04/19/16,,,FALSE,TRUE,04/19/16,,,FREE,BUSY
04/20/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/20/16,04/20/16,,,FALSE,TRUE,04/20/16,,,FREE,BUSY
